ID,Тип,марка,вид,Страна,форма,Оборот,Иерархия1,Иерархия2,Иерархия3,Иерархия4,Иерархия5,,,,
185,Заведение,De bassus,Пивоварня,Россия,Квадрат,Нет,-,,,,,,,,
186,Пиво,Ichnusa,Lager,Италия,Квадрат,Нет,Lager,,,,,,,,
187,Пиво,Titje,Witbier,Бельгия,Квадрат,Нет,Ale,Belgian/French Ale,Witbier,,,,,,
188,Пиво,Roth,Pilsner,Германия,Квадрат,Нет,Lager,Pilsner,,,,,,,
189,Пиво,Karjala,Lager,Финляндия,Квадрат,Нет,Lager,,,,,,,,
190,Заведение,Pivovarský dům,Ресторан-пивоварня,Чехия,Квадрат,Нет,-,,,,,,,,
191,Сигареты,West,-,Россия,Квадрат,Нет,-,,,,,,,,
192,Чай,Lipton,-,Россия,Квадрат,Нет,-,,,,,,,,
193,Чай,Lipton,-,Россия,Квадрат,Нет,-,,,,,,,,
194,Пиво,Чувашский Ниндзя,Märzen,Россия,Квадрат,Нет,Lager,German Lager,Marzen,,,,,,
195,Пиво,Asahi,Lager,Япония,Квадрат,Нет,Lager,,,,,,,,
196,Пиво,Belhaven Black,Stout,Шотландия,Квадрат,Нет,Ale,Stout,,,,,,,
197,Пиво,Velvet,Lager,Чехия,Квадрат,Нет,Lager,,,,,,,,
198,Вермут,Martini,Вермут,Италия,Круг,Да,-,,,,,,,,
199,Пиво,Collin's Imperial Stout,Stout,Англия,Ромб,Нет,Ale,Stout,,,,,,,
200,Сок,Looza,Сок,Бельгия,Круг,Да,-,,,,,,,,
201,Пиво,Asahi,Lager,Япония,Квадрат,Нет,Lager,,,,,,,,
202,Сок,Looza,Сок,Бельгия,Круг,Да,-,,,,,,,,
203,Пиво,Lion Lager,Lager,Шри-Ланка,Квадрат,Нет,Lager,,,,,,,,
204,Заведение,Новый порт,Магазин,Россия,Квадрат,Нет,-,,,,,,,,
205,Заведение,Sophienkeller,Ресторан,Германия,Круг,Да,-,,,,,,,,
206,Заведение,BEERЖА,Ресторан,Беларусь,Квадрат,Нет,-,,,,,,,,
207,Чай,-,-,Греция,Квадрат,Нет,-,,,,,,,,
208,Чай,-,-,Греция,Квадрат,Нет,-,,,,,,,,
209,Заведение,СПбГПУ,-,Россия,Квадрат,Нет,-,,,,,,,,
